ARTNR1|ABEZ1
1240004-3104|Alwo-MAGIC A
1240004-3105|Alwo-MAGIC A
1240004-3106|Alwo-MAGIC
1240004-3111|Alwo-MAGIC A
1240004-3117|Alwo-MAGIC A
1240004-3118|Alwo-MAGIC A
1240004-3121|Alwo-MAGIC A
1240004-3147|Alwo-MAGIC
1240004-3151|Alwo-MAGIC
1240004-3154|Alwo-MAGIC
1240004-3167|Alwo-MAGIC
1240004-3168|Alwo-MAGIC
1240004-3176|Alwo-MAGIC
1240004-3181|Alwo-MAGIC
1240004-3182|Alwo-MAGIC
1240004-318|Alwo-MAGIC
240005-4801|Alwo-Asti
240005-4802|Alwo-Asti
240005-4803|Alwo-Asti
240005-4804|Alwo-Asti
240005-4805|Alwo-Asti
240005-4806|Alwo-Asti
240005-4817|Alwo-Asti
240005-4818|Alwo-Asti
240005-4819|Alwo-Asti
240005-4821|Alwo-Asti
240005-4831|Alwo-Asti
240005-4838|Alwo-Asti
240005-4844|Alwo-Asti
240005-4845|Alwo-Asti
240005-4847|Alwo-Asti
240005-4849|Alwo-Asti
240005-4852|Alwo-Asti
240005-4858|Alwo-Asti
240005-4866|Alwo-Asti
240005-4867|Alwo-Asti
240005-4872|Alwo-Asti
240005-4876|Alwo-Asti
240005-4882|Alwo-Asti
240005-4888|Alwo-Asti
240005-4892|Alwo-Asti
240005-4899|Alwo-Asti
240005-4900|Alwo-Asti
240005-4901|Alwo-Asti
240005-4902|Alwo-Asti
240006-4801|Alwo-BIG-ASTI 200g
240006-4802|Alwo-BIG-ASTI
240006-4803|Alwo-BIG-ASTI
240006-4804|Alwo-BIG-ASTI
240006-4805|Alwo-BIG-ASTI
240006-4806|Alwo-BIG-ASTI
240006-4817|Alwo-BIG-ASTI
240006-4818|Alwo-BIG-ASTI
240006-4819|Alwo-BIG-ASTI
240006-4821|Alwo-BIG-ASTI
240006-4831|Alwo-BIG-ASTI
240006-4838|Alwo-BIG-ASTI
240006-4844|Alwo-BIG-ASTI
240006-4845|Alwo-BIG-ASTI
240006-4847|Alwo-BIG-ASTI
240006-4849|Alwo-BIG-ASTI
240006-4852|Alwo-BIG-ASTI
240006-4858|Alwo-BIG-ASTI
240006-4866|Alwo-BIG-ASTI
240006-4867|Alwo-BIG-ASTI
240006-4872|Alwo-BIG-ASTI
240006-4876|Alwo-BIG-ASTI
240006-4882|Alwo-BIG-ASTI
240006-4888|Alwo-BIG-ASTI
240006-4892|Alwo-BIG-ASTI
240006-4899|Alwo-BIG-ASTI
240006-4900|Alwo-BIG-ASTI
240006-4901|Alwo-BIG-ASTI
240006-4902|Alwo-BIG-ASTI
240038-0001|Alwo-EROS 100g
240038-0002|Alwo-EROS
240038-0003|Alwo-EROS
240038-0004|Alwo-EROS
240038-0005|Alwo-EROS
240038-0006|Alwo-EROS
240038-0007|Alwo-EROS
240038-0008|Alwo-EROS
240038-0009|Alwo-EROS
240038-0010|Alwo-EROS
240038-0011|Alwo-EROS
240038-0012|Alwo-EROS
240038-0013|Alwo-EROS
240038-0014|Alwo-EROS
240038-0015|Alwo-EROS
240038-0016|Alwo-EROS
240038-0017|Alwo-EROS
240048-0001|Alwo Gerda
240048-0002|Alwo Gerda
240048-0003|Alwo Gerda
240048-0004|Alwo Gerda
240048-0005|Alwo Gerda
240048-0006|Alwo Gerda
240048-0007|Alwo Gerda
240048-0008|Alwo Gerda
240048-0009|Alwo Gerda
240048-0010|Alwo Gerda
240051-0001|Alwo-BIG-ASTI-COLOR 200g
240051-0002|Alwo-BIG-ASTI-COLOR
240051-0003|Alwo-BIG-ASTI-COLOR
240051-0004|Alwo-BIG-ASTI-COLOR
240051-0005|Alwo-BIG-ASTI-COLOR
240051-0006|Alwo-BIG-ASTI-COLOR
240051-0007|Alwo-BIG-ASTI-COLOR
240051-0008|Alwo-BIG-ASTI-COLOR
250047-0008|HAUSWOLLE
250047-0010|HAUSWOLLE
250047-0035|HAUSWOLLE
250047-0094|HAUSWOLLE
250047-0100|HAUSWOLLE
250047-0102|HAUSWOLLE
250047-0103|HAUSWOLLE
250047-0104|HAUSWOLLE
250047-0105|HAUSWOLLE
250047-0107|HAUSWOLLE
250047-0109|HAUSWOLLE
250047-0112|HAUSWOLLE
250047-0131|HAUSWOLLE
250047-0132|HAUSWOLLE
250047-0136|HAUSWOLLE
250047-0140|HAUSWOLLE
250047-0144|HAUSWOLLE
250047-0151|HAUSWOLLE
250047-0152|HAUSWOLLE
250047-0202|HAUSWOLLE
250047-0302|HAUSWOLLE
250047-0304|HAUSWOLLE
250047-0305|HAUSWOLLE
250047-0309|HAUSWOLLE
250047-0310|HAUSWOLLE
250047-0311|HAUSWOLLE
250047-0312|HAUSWOLLE
250047-0313|HAUSWOLLE
250047-0314|HAUSWOLLE
250047-0316|HAUSWOLLE
250047-0317|HAUSWOLLE
250047-0319|HAUSWOLLE
250047-0320|HAUSWOLLE
250047-0321|HAUSWOLLE
250047-0322|HAUSWOLLE
250047-0328|HAUSWOLLE
250047-0329|HAUSWOLLE
250047-0330|HAUSWOLLE
250047-0332|HAUSWOLLE
250047-0333|HAUSWOLLE
250047-0334|HAUSWOLLE
250700-0001|ANGORA (Schaffhauser)
250700-0005|ANGORA (Schaffhauser)
250700-0006|ANGORA (Schaffhauser)
250700-0008|ANGORA (Schaffhauser)
250700-0010|ANGORA (Schaffhauser)
250700-0016|ANGORA (Schaffhauser)
250700-0019|ANGORA (Schaffhauser)
250700-0023|ANGORA (Schaffhauser)
250700-0024|ANGORA (Schaffhauser)
250700-0034|ANGORA (Schaffhauser)
250700-0035|ANGORA (Schaffhauser)
250700-0036|ANGORA (Schaffhauser)
250700-0037|ANGORA (Schaffhauser)
250700-0038|ANGORA (Schaffhauser)
250700-0039|ANGORA (Schaffhauser)
250700-0041|ANGORA (Schaffhauser)
250700-0042|ANGORA (Schaffhauser)
250700-0043|ANGORA (Schaffhauser)
250700-0044|ANGORA (Schaffhauser)
250700-0046|ANGORA (Schaffhauser)
250700-0047|ANGORA (Schaffhauser)
250700-0050|ANGORA (Schaffhauser)
250951-0042|JET A
250951-0044|JET A
250951-0045|JET A
250951-0047|JET A
250951-0049|JET A
250951-0051|JET A
250951-0052|JET A
250951-0053|JET A
250951-0058|JET A
250951-0060|JET A
250951-0063|JET
250951-0064|JET A
250951-0065|JET A
250951-0071|JET A
250951-0072|JET A
250951-0073|JET A
250951-0076|JET A
250951-0078|JET A
250951-0080|JET A
250951-0086|JET A
250951-0093|JET A
250951-0094|JET A
250951-0095|JET A
250951-0096|JET A
250951-0097|JET A
250951-0100|JET A
250951-0403|JET A
250951-0405|JET A
250951-0406|JET A
250951-0409|JET A
250951-0420|JET A
250951-0421|JET A
250951-0422|JET A
250951-0423|JET A
250951-0424|JET A
250951-0425|JET A
250951-0426|JET A
251947-0042|VERA
251947-0044|VERA
251947-0045|VERA
251947-0047|VERA
251947-0049|VERA
251947-0051|VERA
251947-0052|VERA A
251947-0053|VERA
251947-0058|VERA
251947-0060|VERA
251947-0063|VERA
251947-0064|VERA
251947-0065|VERA
251947-0071|VERA
251947-0072|VERA A
251947-0076|VERA A
251947-0078|VERA
251947-0086|VERA
251947-0093|VERA
251947-0094|VERA
251947-0095|VERA
251947-0096|VERA A
251947-0097|VERA A
251947-0100|VERA
251947-0403|VERA
251947-0405|VERA
251947-0409|VERA
251947-0420|VERA
251947-0421|VERA
251947-0422|VERA
251947-0423|VERA
251947-0424|VERA
251947-0425|VERA
251947-0426|VERA
280001-9980|"SOCKINA COLOR 19/2003 ""Tequila-Color A"
280004-9980|"FORT/SOCKA 23/2002 ""CLOWN-COOLR""  A"
280005-9980|"FORT/SOCKA 4-fach. Color 17/2003 ""Burberry-Eff.  A"
280013-9980|"FORT/SOCKA 18/2003  ""MEXICO-DISCO-COLOR A"
280014-9980|"FORT/SOCKA  Sortiment 21/2001 ""MEXICO-COLOR"
280014-9981|"FORT/SOCKA  17/2002 ""MEXICO-DENIM-COLOR A"
280014-9982|"FORT/SOCKA  16/2003  ""MEXICO-SAFARI-COLOR"
280015-9980|"Fort/Socka  06/2003  ""MEXICO-BLACK-DENIM-COLOR  A"
280018-0805|EXCELLENT A
280018-0806|EXCELLENT A
280018-0807|EXCELLENT A
280018-0808|EXCELLENT A
280018-0809|EXCELLENT A
280018-0810|EXCELLENT A
280018-0811|EXCELLENT A
280018-0812|EXCELLENT A
280018-0813|EXCELLENT A
280018-0814|EXCELLENT A
280018-0815|EXCELLENT A
280018-0816|EXCELLENT A
280018-0817|EXCELLENT A
280018-0818|EXCELLENT A
280019-7350|CRAZY A
280019-7351|CRAZY A
280019-7352|CRAZY A
280019-7353|CRAZY A
280019-7354|CRAZY A
280019-7355|CRAZY A
280019-7356|CRAZY A
280019-7357|CRAZY A
280019-7358|CRAZY A
280019-7359|CRAZY A
280019-7360|CRAZY A
280019-7361|CRAZY A
280019-7362|CRAZY A
280019-7363|CRAZY A
280021-6702|VOLARE A
280021-6703|VOLARE A
280021-6704|VOLARE A
280021-6705|VOLARE A
280021-6706|VOLARE A
280021-6707|VOLARE A
280021-6708|VOLARE A
280021-6709|VOLARE A
280021-6710|VOLARE A
280021-6711|VOLARE A
280021-6712|VOLARE A
280021-6713|VOLARE A
280021-6714|VOLARE A
280021-6715|VOLARE A
280021-6716|VOLARE A
280021-6717|VOLARE A
280021-6718|VOLARE A
280021-6719|VOLARE A
280021-6720|VOLARE A
280021-6721|VOLARE A
280021-6722|VOLARE A
280021-6723|VOLARE A
280021-6724|VOLARE A
280021-6725|VOLARE A
280022-6804|VOLARE COLOR A
280022-6805|VOLARE COLOR A
280022-6806|VOLARE COLOR A
280022-6807|VOLARE COLOR A
280022-6808|VOLARE COLOR A
280022-6809|VOLARE COLOR A
280022-6810|VOLARE COLOR A
280022-6811|VOLARE COLOR A
280022-6812|VOLARE COLOR A
280022-6813|VOLARE COLOR A
280023-6750|VOLARE MOULINE A
280023-6751|VOLARE MOULINE A
280023-6752|VOLARE MOULINE A
280023-6753|VOLARE MOULINE A
280023-6754|VOLARE MOULINE A
280023-6755|VOLARE MOULINE A
280023-6756|VOLARE MOULINE A
280023-6757|VOLARE MOULINE A
280025-9850|SCOOTER
280025-9851|SCOOTER
280025-9852|SCOOTER A
280025-9853|SCOOTER A
280025-9855|SCOOTER
280025-9856|SCOOTER
280025-9857|SCOOTER A
280025-9858|SCOOTER
280025-9859|SCOOTER
280025-9860|SCOOTER A
280025-9861|SCOOTER
280025-9862|SCOOTER
280025-9863|SCOOTER
280025-9864|SCOOTER
280025-9865|SCOOTER A
280025-9866|SCOOTER
280025-9867|SCOOTER
280025-9868|SCOOTER
280025-9869|SCOOTER
280025-9870|SCOOTER
280025-9871|SCOOTER
280025-9872|SCOOTER A
280025-9873|SCOOTER
280025-9874|SCOOTER
280026-9801|AROSA A
280026-9802|AROSA A
280026-9803|AROSA A
280026-9804|AROSA A
280026-9805|AROSA A
280026-9806|AROSA A
280026-9807|AROSA A
280026-9808|AROSA A
280026-9809|AROSA A
280026-9810|AROSA A
280026-9811|AROSA A
280026-9812|AROSA A
280026-9813|AROSA A
280026-9814|AROSA A
280030-1001|FORT/SOCKA
280030-1002|FORT/SOCKA
280030-1003|FORT/SOCKA
280030-1004|FORT/SOCKA
280030-1005|FORT/SOCKA
280030-1006|FORT/SOCKA
280030-1007|FORT/SOCKA
280030-1008|FORT/SOCKA
280030-1009|FORT/SOCKA A
280030-1010|FORT/SOCKA
280030-1011|FORT/SOCKA
280030-1012|FORT/SOCKA
280030-1013|FORT/SOCKA A
280030-1014|FORT/SOCKA
280030-1015|FORT/SOCKA
280030-1016|FORT/SOCKA
280030-1017|FORT/SOCKA
280030-1018|FORT/SOCKA
280030-1019|FORT/SOCKA
280030-1020|FORT/SOCKA
280030-1021|FORT/SOCKA
280030-1022|FORT/SOCKA
280030-1023|FORT/SOCKA
280030-1024|FORT/SOCKA
280030-1025|FORT/SOCKA
280030-1026|FORT/SOCKA
280030-1027|FORT/SOCKA
280030-1028|FORT/SOCKA
280030-1029|FORT/SOCKA
280030-1030|FORT/SOCKA
280030-1031|FORT/SOCKA
